==PROF== Connected to process 19232 (C:\Users\38154\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe)
==PROF== Disconnected from process 19232
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.min","byte","512"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_read.sum","byte","4,352"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.avg","byte","0"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.max","byte","0"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.min","byte","0"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","dram__bytes_op_write.sum","byte","0"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.avg","ns","3,744"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.max","ns","3,744"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.min","ns","3,744"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","gpu__time_duration.sum","ns","3,744"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","lts__t_bytes.avg","byte","1,362"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","lts__t_bytes.max","byte","2,304"
"1","19232","python.exe","127.0.0.1","12020  ""<default domain>:AKA_SWIGLU:none:none:none:none:none:none"" ","","triton_poi_fused_add_mul_silu_split_0","1","7","(128, 1, 1)","(1, 1, 1)","0","12.0","Command line profiler metrics","lts__t_bytes.min","byte","512"
